park_id,name,address,city,state,zip
2267,Sugarloaf Community,2899 Sugarloaf Drive-Office,Lake Charles,LA,70607
14315,Lakewood Village Mobile Home Park,9110 Linwood Avenue,Shreveport,LA,71106
14316,Dream Courts Mobile Home Park,217 Dream Court,Slidell,LA,70461
14320,Academy Mobile Village & Apartments,2221 Jeff Davis Academy Road,Jennings,LA,70546
14321,Acadian Acres Mobile Home Park,1410 Westgate Road,Lafayette,LA,70506
14323,Acadian Mobile Home Village,237 West Saint Peter Street,New Iberia,LA,70560
14326,Alpha Mobile Home Park,433 Flournoy Lucas Road,Shreveport,LA,71106
14328,Antique Acres Mobile Home Park,2665 Winnsboro Road,Monroe,LA,71202
14329,Caddo Ridge Mobile Home Park,616 Washington Street,West Monroe,LA,71292
14330,Ashland North,1425 West Tunnel Boulevard,Houma,LA,70360
14331,Aurora Mobile Home Parks,5602 Desiard Street,Monroe,LA,71203
14334,Azalea Gardens Mobile Home & RV Park,3300 Baker Boulevard,Baker,LA,70714
14339,Barton's RV Park,1108 South Post Oak Road,Sulphur,LA,70663
14341,Bayou Shades Mobile Village,2224 Old Highway 171 North,Lake Charles,LA,70615
14344,Bellavista Mobile Home Village,2651 Barron Road,Keithville,LA,71047
14345,Belle Vale Mobile Home Park,2850 Hwy 190 W,Port Allen,LA,70767
14346,Ben's Mobile Home Park,7114 Corbina Road,Lake Charles,LA,70607
14347,Bent Oak Trailer Park,4190 Poydras Highway,Breaux Bridge,LA,70517
14348,Big D Mobile Home Park & Rental,9673 Florida Boulevard,Walker,LA,70785
14349,Big Oaks Mobile Home Park,3700 Victoria Drive,Baton Rouge,LA,70812
14352,Blanchard Mobile Home Villa,107 Blanchard Mobile Villa Road,Shreveport,LA,71107
14353,Blue Ridge Mobile Home Park,6900 Buncombe Road,Shreveport,LA,71129
14354,Bolton Ronnie Elimelech Mobile Home Park,3986 Vfw Road,Leesville,LA,71446
14355,Brady's Mobile Home Park,5044 Greenwood Rd,Shreveport,LA,71109
14356,Broadmoor Mobile Home Park,9955 Florida Boulevard,Baton Rouge,LA,70815
14359,Palmetto Mobile Home Park,29686 South Palmetto Street,Walker,LA,70785
14360,Bynog's Trailer Park,1080 Belview Road,Leesville,LA,71446
14361,Cabana Mobile Estates,6101 North Bolton Avenue,Alexandria,LA,71303
14363,Cajun Mobile Home Park,215 Gireer Road,Youngsville,LA,70592
14364,Canaan Land Mobile Home Park,2809 Arkansas Road,West Monroe,LA,71291
14365,Canary Motel & Trailer Courts,3002 Cypress Street,West Monroe,LA,71291
14366,Capri Court,105 Capri Court,Houma,LA,70361
14367,Sweet Gum Community,4314 Highway 27 South,Sulphur,LA,70665
14368,Carriage Cove Mobile Home Park,9241 Diamond Head Court,Houma,LA,70363
14370,Sunset Mobile Home Park,6605 Sunset Park,Shreveport,LA,71107
14371,Carters Mobile Home Park,1815 Highway 1,Natchitoches,LA,71457
14372,CBS Mobile Home Park,343 Country Ridge Rd,Opelousas,LA,70570
14373,Cedarcrest Mh Park,10615 Airline Highway,Baton Rouge,LA,70816
14374,Chahta Mobile Home Park,1101 Colbert Street,Mandeville,LA,70448
14376,Chardele Mobile Estates,2465 Highway 397,Lake Charles,LA,70615
14377,Charlies Mobile Home Village,3238 Deare Street,New Iberia,LA,70560
14381,Choctaw Mobile Home Park,59655 Highway 1148,Plaquemine,LA,70764
14382,Circle Drive Mobile Home Park,5415 Whites Ferry Road,West Monroe,LA,71291
14383,Circle G Mobile Home Park,1825 Bull Run Road,Schriever,LA,70395
14384,Circle West Mobile Homes Estates,200 Circle West Drive,Westwego,LA,70094
14386,Claiborne Hills Mobile Home Park,5802 Cypress Street,West Monroe,LA,71291
14388,Colonial Mobile Home Park,1370 East Airline Highway,La Place,LA,70068
14389,Country Air Mobile Home Park,Quarter Pole Road,Rayne,LA,70578
14391,Country Club Mobile Home Park,144 Rainey Road,Slidell,LA,70458
14394,Country Estates Mobile Home Park,205 Westside Drive,Vidalia,LA,71373
14395,Country Living Mobile Home Park,505 North 17th Street,Monroe,LA,71201
14396,Country Oaks Mobile Home Park,805 Topsy Road,Moss Bluff,LA,70611
14397,Country Pine Mobile Estate,329 Lebesque Road,Lafayette,LA,70507
14399,Country Village Mobile Home Park,3100 Arkansas Road,West Monroe,LA,71291
14400,Countryaire Mobile Home Park,7410 Old Mooringsport Road,Shreveport,LA,71107
14402,Covington Manor Mobile Home Park,161 Barbee Road,Covington,LA,70433
14403,Crest Trailer Park,212 East Airline Highway,Kenner,LA,70062
14404,Crestview Village,5885 Lavey Ln,Baker,LA,70714
14406,Cypress Mobile Estates,1312 Roper Drive,Scott,LA,70583
14407,Davids Trailer & RV Park,112 Tan Street,Church Point,LA,70525
14408,Davidson Mobile Home Park,65 Davidson Drive,Bossier City,LA,71112
14410,Hassel's Trailer Park,3826 Peters Road,Harvey,LA,70058
14411,Deer Valley Mobile Home Community,321 North Elm Street,Haughton,LA,71037
14412,Deluxe Mobile Home Park,5204 Desiard Street,Monroe,LA,71203
14413,Kings Court Mobile Home Park,704 West Gloria Switch Road,Lafayette,LA,70507
14415,Doss Wheeler Mobile Home Park,5157 Highway 19,Zachary,LA,70791
14416,Dove Creek Mobile Home Park,3200 Westwood Road,Westlake,LA,70669
14417,Sherwood Forest Mobile Home Park,349 South Flannery Road,Baton Rouge,LA,70815
14418,Drew Mobile Home Park,755 Ole Highway 15,West Monroe,LA,71291
14419,Dude's Trailer Park,1534 Highway 190 West,Port Allen,LA,70767
14421,Dwaynes Mobile Park,229 Mary Hill Road,Pineville,LA,71360
14423,East Highland Mobile Home Park,954 Ferndale Boulevard,Haughton,LA,71037
14424,East Ouachita Mobile Home Park,1534 Frenchmans Bend Road,Monroe,LA,71203
14425,Eastover Estates,25825 Aztec Drive,Denham Springs,LA,70726
14426,Crestwood Community,5711 Broad Street,Lake Charles,LA,70615
14427,Azalea Homes & RV Gardens,400 Dolly Drive,Monroe,LA,71203
14428,Easy Living Mobile Home Park,5107 Blanks St,Monroe,LA,71203
14429,Evangeline Trailer Park,705 West Gloria Switch Road,Lafayette,LA,70507
14431,Evergreen Mobile Home Park,7600 US-171,Converse,LA,71419
14432,F & F Mobile Home Park,1048 Samuel Drive,Eunice,LA,70535
14433,Fairview Mobile Estates,5859 Tom Hebert Road,Lake Charles,LA,70607
14434,Faith Trailer Court,1825 Coteau Road,Houma,LA,70364
14435,Forest Estates,6201 Bert Kouns Industrial Loop,Shreveport,LA,71129
14437,G & R Mobile Park,307 Pecan Grove Road,Scott,LA,70583
14438,Mobile Home Acres,280 John Wayne Drive,Lafayette,LA,70508
14440,Glen Leaf Manufactured Community,7400 Glen Leaf Drive,Shreveport,LA,71129
14441,Going West Mobile Estates,900 Leblanc Road,Duson,LA,70529
14442,Countryside MHP,440 Heide Circle,Scott,LA,70583
14444,Granberrys Mobile Home Park,4250 Blount Road,Baton Rouge,LA,70807
14445,Green Acres Trailer Park,123 Highway 135,Rayville,LA,71269
14446,Santa Fe Village Mobile Home Park,4809 East Texas Street,Bossier City,LA,71111
14448,Hacienda Trailer Park,174 Lonnie Jeane Loop,Leesville,LA,71446
14449,Hagans Mobile Home Park,128 Hagan Drive,Pineville,LA,71360
14452,Central Pointe Estates,17960 Will Ave.,Greenwell Springs,LA,70739
14453,Hillside Mobile Home Park,6941 Highway 1,Shreveport,LA,71107
14454,Lafayette Mobile Home Park,2808 West Pinhook Road,Lafayette,LA,70508
14456,Holliday Mobile Home Park,451 Petty St.,Deridder,LA,70634
14458,Patricia's Mobile Home Park,1st Street,Jena,LA,71342
14459,Huntington Mobile Park,6850 Klug Pines Road,Shreveport,LA,71129
14460,I-10 Mobile Village,583 I-10 Mobile Village Road,Lake Charles,LA,70615
14461,Iberia Mobile Home Park,316 Mercedes Circle,New Iberia,LA,70560
14463,J & K Mobile Park,133 East 123rd Street,Galliano,LA,70354
14464,J & L Mobile Home Park,18732 Mouton Cove Drive,Abbeville,LA,70510
14465,James Mobile Home Park,6336 East Opelousas Street,Lake Charles,LA,70615
14467,Teco's Mobile Home Park,514 Jenkins Road,Duson,LA,70529
14468,Justice Trailer Court,5728 4th Street,Marrero,LA,70072
14469,Kiper Mobile Home Park,2214 W Old Spanish Trail,New Iberia,LA,70560
14472,Landall Mobile Estates,2900 West Willow Street,Scott,LA,70583
14475,Little Lake Estates,2732 Manchester Drive,Baker,LA,70714
14477,Lost Bayou Mobile Home Park,210 Ruth Street,Houma,LA,70364
14478,M & T Mobile Home Park,421 Fontelieu Drive,New Iberia,LA,70560
14479,Maison Royale Mobile Home Park,1579 Duchamp Rd,Broussard,LA,70518
14482,Maxies Mobile Valley,4350 Highway 90 East,Broussard,LA,70518
14483,Mccutchen Mobile Home Haven,1424 Elton Road,Jennings,LA,70546
14485,Messer Mobile Home Park,64105 Highway 3081,Pearl River,LA,70452
14486,Rays Mobile Home Park,427 Pitkin Road,Leesville,LA,71446
14488,Tree Lawn Trailer Court,935 Center Street,New Iberia,LA,70560
14489,Westland Rentals & Mobile Home Park,1500 Hopkins Street,New Iberia,LA,70560
14492,Moss Bluff Mobile Home Village,450 Parish Rd,Lake Charles,LA,70611
14494,Mott Trailer Park,2000 Effie Street,Houma,LA,70363
14495,Mount Dale B Mobile Home Park,777 Invader Street,Sulphur,LA,70663
14496,Mouton's Trailer Park,113 Porter Lane,Lafayette,LA,70501
14497,Mylander Mobile Home Park,1216 South Post Oak Road,Sulphur,LA,70663
14498,New Horizon Mobile Home Park,1714 New Horizons Dr,New Iberia,LA,70560
14499,Oak Hurst Mobile Home Park,6675 Highway 90 East,Lake Charles,LA,70615
14500,Norberts Golden Gate Mobile Home Park,800 Bonin Road,Lafayette,LA,70508
14502,North Village Mobile Home Park,150 N Village Dr,Ruston,LA,71270
14503,Northgate Mobile Park,210 West Pont Des Mouton Road,Lafayette,LA,70507
14505,Northwood Mobile Home Park,103 Briarwood Drive,West Monroe,LA,71291
14506,Oak Glen Terrace,3838 Thomas Road,Baton Rouge,LA,70811
14507,Oak Haven Mobile Home Park,108 Oakhaven Drive,Haughton,LA,71037
14508,Oak Lane Mobile Home Park,21459 Highway 167,Dry Prong,LA,71423
14509,Oakcreek Estates Mobile Home Park,239 North Perkins Ferry Road,Lake Charles,LA,70611
14511,Spring Branch Estates,4902 Monroe Highway,Pineville,LA,71405
14512,Cypress Estates MHC,1108 South Lake Arthur Avenue,Jennings,LA,70546
14513,Peachland Village,7003 Highway 80,Ruston,LA,71270
14514,Pecan Valley Estates,6507 Barksdale Boulevard,Bossier City,LA,71112
14515,Pecanland Estates,2300 Garrett Road,Monroe,LA,71202
14516,Pecue Mobile Home Park,7550 Pecue Ln,Baton Rouge,LA,70808
14517,Pepper Point Mobile Park,6219 East Texas Street,Bossier City,LA,71111
14518,Pine Creek Mobile Home Estates,1000 Acadian Boulevard,Princeton,LA,71067
14519,Pine Crest Mobile Home Park,2601 Old Spanish Trail,Slidell,LA,70461
14520,Pine Hill Mobile Home Park & RV Park,2 Pine Hill Circle,Haughton,LA,71037
14521,Pinecrest,6700 Jefferson Paige Road,Shreveport,LA,71119
14523,Plantation Acres Manufactured Home Community,200 Bayou Loop,Bossier City,LA,71112
14524,Plauches Little Acres,152 Plauche Drive,Carencro,LA,70520
14525,Court Street Estates,1590 Court Street,Port Allen,LA,70767
14526,Potpourri Village,1000 Renaud Drive,Scott,LA,70583
14527,Pounds Mobile Home Park,20378 Highway 36,Covington,LA,70433
14528,Pannu Mobile Home Park,26229 Walker South Road,Denham Springs,LA,70726
14530,Remwood Park,24 Rembert Court,Houma,LA,70364
14531,Ricks Trailer Park,9762 Highway 965,Saint Francisville,LA,70775
14532,Ridgecrest Mobile Home Park,23453 Walker South Road,Denham Springs,LA,70726
14533,River City Mobile Homes,4700 Cypress Street,West Monroe,LA,71291
14535,Robertson Mobile Home Park,200 Robertson Drive,Minden,LA,71055
14537,Rosebud Mobile Estates,603 Mercer Drive,Ball,LA,71405
14540,Sandiford Three S Mobile Home Park,127 Rolleigh Road W,Calhoun,LA,71225
14541,Seven Oaks Mobile Home Park,28760 Juban Road,Denham Springs,LA,70726
14543,Shiloh MHC,1111 Roper Rd,Scott,LA,70583
14544,Todd Mobile Home Park,271 Grandwood Drive,Patterson,LA,70392
14545,Shorewood Village Mobile Home Park,402 Avant Rd,West Monroe,LA,71291
14547,Pleasant Oaks Mobile Home Park,11482 Florida Boulevard,Walker,LA,70785
14548,Silessi Mobile Home Park,42149 Greg Drive,Hammond,LA,70403
14550,Andrus Mobile Home Park,5225 August Lane,Marrero,LA,70072
14551,Solar's Mobile Home Park,1220 Winder Road East,Thibodaux,LA,70301
14552,South Bossier Mobile Home Park,1920 Alfred Lane,Bossier City,LA,71112
14553,Southern Living Mobile Home Park LLC,5303 E Texas St,Bossier City,LA,71111
14554,Southern Living Village,7990 Cypress Street,West Monroe,LA,71291
14555,Southern Manor Mobile Home Park Inc,60375 North Military Road,Slidell,LA,70458
14556,The Charleston MHC,5000 Leon Drive,Lake Charles,LA,70605
14557,Sportsman Mobile Home Park,2653 Old Deridder Highway,Lake Charles,LA,70615
14558,Saint James Mobile Home Community,4702 Lavey Lane,Baker,LA,70714
14559,Eagle Lake Mobile Home Park,1210 Eagle Lake Boulevard,Slidell,LA,70460
14560,Sterling Oaks Mobile Home Estates,1315 New Natchitoches Road,West Monroe,LA,71292
14561,Stonegate,6801 West 70th Street,Shreveport,LA,71129
14565,Suttons Mobile Home Park,7405 Esler Field Road,Pineville,LA,71360
14566,Tammany Mobile Home Park,41662 Highway 190 East,Slidell,LA,70461
14567,Tangelwood West Trailer Park,9477 Lansdowne Road,Baton Rouge,LA,70818
14568,Taylors Mobile Home Park,137 West Park Avenue,Thibodaux,LA,70301
14570,Teche Valley Mobile Home Park,400 Rue Degravelle,New Iberia,LA,70563
14571,Timberland Trailer Park,59356 Transmitter Road,Lacombe,LA,70445
14572,Tommasi Mobile Village,2500 Smith Road,Lake Charles,LA,70607
14573,Towering Pines Mobile Home Park,101 Gillies Street,Leesville,LA,71446
14574,Town & Country Village,696 Burgessville Road,Ruston,LA,71270
14575,Twin Oaks Mobile Manor,64371 Highway 3081,Pearl River,LA,70452
14576,Twin Pines Mobile Home Park,3060 Winnsboro Road,Monroe,LA,71202
14578,Vesta Mobile Home Park,2228 South Burnside Ave,Gonzales,LA,70737
14579,Victoria Trailer Court,4415 Victoria Drive,Baton Rouge,LA,70812
14580,Victoria Village,2925 Mills Street,Lafayette,LA,70507
14581,Village Green Mobile Home Park,196 Sundance Dr,Ruston,LA,71270
14582,Village Park Mobile Estate,6406 Johnston Street,Lafayette,LA,70506
14586,West Street Trailer Park,501 Miller Street,Farmerville,LA,71241
14587,Westwood Hills Mobile Home Park,3300 Fletcher Lane,Ruston,LA,71270
14588,Wheel Estates Mobile Home Park,924 Whitlow Court,La Place,LA,70068
14589,Whispering Oaks Mobile Home & RV Parks,9026 Main Street,Houma,LA,70363
14591,Cedar Ridge Estates,9690 Highway 79,Bethany,LA,71007
14593,Willa-Villa Mobile Home & RV,250 Willa Villa Drive,Bogalusa,LA,70427
14596,Woodland Heights Mobile Home Community,100 Woodland Drive,Thibodaux,LA,70301
14597,Touchet Mobile Home Park,201 Touchet Drive,Abbeville,LA,70510
14598,Campti Mobile Home Park,Tbd,Campti,LA,71411
14600,Forest Village Mobile Home Park,220 Forest Drive,West Monroe,LA,71291
14601,Acadian Acres Mobile Home Park,2211 Patton Street,Sulphur,LA,70665
14603,Ascension Estates LLC,8544 S Saint Landry St,Gonzales,LA,70737
14605,Willow Bend,2730 Highway 182 West,Patterson,LA,70392
14607,La Bon Via,22210 Warren Street,Plaquemine,LA,70764
14608,St Amant Trailer Park,13128 Lamar Moran Road,Saint Amant,LA,70774
14610,Quail Ridge,2187 Gauthier Road,Lake Charles,LA,70607
14611,A & W Mobile Home Park,7775 Florida Boulevard,Denham Springs,LA,70726
14612,Crystal Place,15260 East Beaver Drive,Pride,LA,70770
14614,Le Bleu Mobile Home Park,1887 Arsene Road,Lake Charles,LA,70615
14616,Queens Row Park,342 Queens Row,Lafayette,LA,70508
14617,Fox Glen Mobile Home Park,6260 Buncombe Road,Shreveport,LA,71129
14619,Smith's Mobile Home Park,6505 Nelson Road,Lake Charles,LA,70605
14621,Cadeville Mobile Home Park,160 Chad Lane,Eros,LA,71238
14623,Grays Mobile Home Park,1506 Grays Park Lane,Florien,LA,71429
14624,A & H Mobile Home Park,211 Penny Drive,West Monroe,LA,71291
14625,Highland Ridge Mobile Home Park,21440 Bonnie Drive,Denham Springs,LA,70726
14626,Cozy Acres Mobile Home Park,304 Rue Septembre,Scott,LA,70583
14629,Vatican Square Mobile Village,126 Kidder Road,Carencro,LA,70520
14630,Broussard Mobile Home Park,1515 Blankenship Drive,Deridder,LA,70634
14631,Bayou Country Villa,1207 Ravia Road,Sulphur,LA,70665
14632,Oak Forest Estates,22137 Walker South Road,Denham Springs,LA,70726
14635,Gulf Stream Manor,8559 Gulf Highway,Lake Charles,LA,70607
14636,Ridge Park,2499 Highway 378,Lake Charles,LA,70611
14637,Gray's Creek Mobile Home Park,9212 Lockhart Road,Denham Springs,LA,70726
14638,Smiling C,1626 Duhon Road,Duson,LA,70529
14639,Atchasalauga Acres,1041 Jean Lafitte,Breaux Bridge,LA,70517
14640,Oak Alley Estates,280 Mt Pleasant Road,Zachary,LA,70791
14641,Magnolia Mobile Home Park,968 Wallace Dean Road,West Monroe,LA,71291
14642,Parro Mobile Home Park,159 Parro Lane,Berwick,LA,70342
14643,Silver Maple Mobile Home Park,807 Highway 1204,Ball,LA,71405
14645,Summerwood Mobile Home Community,3201 Kaliste Saloom Road,Lafayette,LA,70508
14647,Thibodeaux Mobile Home Park,6711 Fremin Road,New Iberia,LA,70560
14648,Pinelake Mobile Home Court,40430 E I 55 Service Road,Ponchatoula,LA,70454
14649,Daigle's Mobile Park,1903 Airport Road,Jennings,LA,70546
14650,Twin Oaks Mobile Home Park,14054 Highway 44,Gonzales,LA,70737
14651,Fanz Mobile Home Park,2100 W. Fanz,Saint Bernard,LA,70085
14652,Blankenship Mobile Home Park,3382 L Benoit Road,Lake Charles,LA,70605
14653,Violas Mobile Home Park,501 1/2 9th St,Franklin,LA,70538
14654,Lakeview Mobile Home Park,450 Espasie Road,Youngsville,LA,70592
14655,Evergreen Estates,5280 Old Mooringsport Road,Shreveport,LA,71107
14658,Academy Mobile Home Estates,Highway 157 South,Haughton,LA,71037
14660,Plantation Village,4702 Plantation Village Drive,New Iberia,LA,70560
14661,Drake mobile home Village,630 Brothers Rd.,Lafayette,LA,70507
14662,Riverland Mobile Home Park,Bonura Drive,Saint Rose,LA,70087
14663,Millers Mobile Home Park,Zifful Court,Houma,LA,70364
14664,Country Boy Mobile Home Park,205 Harmony Street,Gray,LA,70359
14665,Westgate Mobile Home Park,3750 Landry Road,Scott,LA,70583
14667,Elder's Mobile Home Park,9740 Highway 28 East,Pineville,LA,71360
14668,Bobby Lejeune Mobile Home Park,Virginia Elizabeth Ave,Port Barre,LA,70577
14669,Majorias Many Trees,5110 Ames Boulevard,Marrero,LA,70072
14670,Linder Mobile Home Park,31531 Linder Road,Denham Springs,LA,70726
14672,Oak Park II,4868 Orleans Way,Marrero,LA,70072
14673,Chalmette Mobile Home Park,2101 Marcelle Street,Chalmette,LA,70043
14674,Cumberland Estates,1122 West Verdine Street,Sulphur,LA,70663
14675,Plantation Mobile Home Park,2960 Highway 190 West,Port Allen,LA,70767
14676,T & W Trailer Park,195 Bundick Road,Leesville,LA,71446
18848,Creekside Mobile Home Court LLC,15569 East Hoffman Road,Ponchatoula,LA,70454
27874,Wind Crest Mobile Home Park,39437 South Hoover Road,Ponchatoula,LA,70454
27890,Country Road Mobile Home Park,2600 Horacek Road,Haughton,LA,71037
27891,Evergreen Estates,2208 North Perkins Ferry Road,Lake Charles,LA,70611
27892,Cronin Mobile Home Park,Cronin Lane,Venice,LA,70091
27893,Sweet Briar Mobile Home Park,18733 Samuels Road,Zachary,LA,70791
27895,Belle Place Trailer Park,600 Saint Nazaire Road,Broussard,LA,70518
27896,Landry's Mobile Home Park,17140 Highway 44,Prairieville,LA,70769
27897,Mobile Estates,506 Mobile Estates Drive,Gray,LA,70359
27898,Area 4 Mobile Park,345 Area 4 Road,West Monroe,LA,71292
27899,Twin Bridges Mobile Home Park,6046 Twin Bridge Road,Alexandria,LA,71303
27901,Brien's Mobile Village,176 Brien Street,Houma,LA,70364
27902,Ponders Mobile Home Park,250 Lafayette Street,Gretna,LA,70053
27903,Country Village Park,Country Village Lane,Egan,LA,70531
28405,Jim's Mobile Home Park,29906 Highway 22,Springfield,LA,70462
28443,Lakeside Mobile Home Park,571 North Spillway Road,Farmerville,LA,71241
28444,Bayou Mobile Estates,5901 East Texas Street,Bossier City,LA,71111
28558,Lin Park,324 Idema Street,Shreveport,LA,71106
28561,Daspit Mobile Home Park,821 Brookhaven Drive,New Iberia,LA,70563
28563,Hickory Hollow Mobile Home Park,851 Rowland Road,Monroe,LA,71203
28570,T & M Mobile Home Park,102 Florine Street,Youngsville,LA,70592
28572,Chastity Acres,3686 Natchitoches Highway,Many,LA,71449
28610,Boudreaux's Mobile Home Park,2716 Main Street,Jeanerette,LA,70544
28643,Southern Meadows Mobile Home Park,Po Box 12612,Lake Charles,LA,70611
28768,Grandview Mobile Estates,115 Highland Drive,Kinder,LA,70648
28822,Frank Cowart's Park,7057 Prairie Park,Winnsboro,LA,71295
28850,Prairie Oaks Mobile Home Park,42385 Moody Dixon Drive,Prairieville,LA,70769
28936,Cypress Garden Mobile Home Park,Cypress Garden,Shreveport,LA,71106
29067,Bayou Dulac Mh Park,5244 Highway 115,Bunkie,LA,71322
29107,North Bluff Mobile Estates,1490 Joe Miller Road,Moss Bluff,LA,70611
29225,Country Boy Mobile Home Park,106 Kevin Street,Houma,LA,70364
29275,Fredericks Mobile Home Park,523 Fredericks Lane,Baldwin,LA,70514
29392,Hickory Creek,500 Hickory Creek Loop,Deridder,LA,70634
29412,Pines Lane Mobile Home Park,Little Pines Lane,Morgan City,LA,70380
29472,Four Season Mobile Home Park,7950 Hooper Road,Baton Rouge,LA,70811
29537,Reagans Mobile Home Park,4414 Winnsboro Road,Monroe,LA,71202
29643,Henry L B Mobile Home Park,3329 Old Marksville Highway,Pineville,LA,71360
29696,Tundra Estates,Howard Lane,Vidalia,LA,71373
29760,Seneca Park,57785 Seneca Park,Plaquemine,LA,70764
29765,Duncan Heights,3107 Oliva Road,New Iberia,LA,70560
29806,Shady Acres Mobile Home Park,Shady Loop,Eunice,LA,70535
29950,Lafayette Oaks,1717 Eraste Landry Road,Lafayette,LA,70506
29965,Sugar Ridge Mobile Home Park,211 East Gloria Switch Road,Lafayette,LA,70507
29994,Hallmark Village,12397 Highway 80,Minden,LA,71055
30475,Green Acres Mobile Home Park,1301 Macarthur,Logansport,LA,71049
30632,Riverboat Lane Mobile Home Park,7021 Highway 1 South,Addis,LA,70710
30662,Hebert Estates and RV Park,205 Hebert Trailer Park,Lake Charles,LA,70607
31208,Whispering Pines Mobile Home Park,198 North Myrtle Street,Choudrant,LA,71227
